c_number,name,formula,exact_mass,mol_weight,pathway,reaction,enzyme,description
C00001,H2O;,H2O,18.0106,18.02,map00190  Oxidative phosphorylation,R00001 R00002 R00004 R00005 R00009 R00010 R00011 R00017,1.1.1.1         1.1.1.22        1.1.1.23        1.1.1.115,
C00002,ATP;,C10H16N5O13P3,506.9957,507.18,map00190  Oxidative phosphorylation,R00002 R00076 R00085 R00086 R00087 R00088 R00089 R00104,1.1.98.6        1.2.1.30        1.2.1.95        1.2.1.101,
C00003,NAD+;,C21H28N7O14P2,664.1169,664.43,map00190  Oxidative phosphorylation,R00023 R00090 R00091 R00092 R00093 R00094 R00095 R00100,1.1.1.1         1.1.1.3         1.1.1.4         1.1.1.6,
C00004,NADH;,C21H29N7O14P2,665.1248,665.44,map00190  Oxidative phosphorylation,R00023 R00090 R00091 R00092 R00093 R00094 R00095 R00100,1.1.1.1         1.1.1.3         1.1.1.4         1.1.1.6,
C00005,NADPH;,C21H30N7O17P3,745.0911,745.42,map00195  Photosynthesis,R00105 R00106 R00108 R00109 R00111 R00112 R00113 R00114,1.1.1.1         1.1.1.2         1.1.1.3         1.1.1.10,
C00006,NADP+;,C21H29N7O17P3,744.0833,744.41,map00195  Photosynthesis,R00104 R00106 R00108 R00109 R00111 R00112 R00113 R00114,1.1.1.1         1.1.1.2         1.1.1.3         1.1.1.10,
C00007,Oxygen;,O2,31.9898,32.00,map00190  Oxidative phosphorylation,R00009 R00025 R00031 R00032 R00033 R00041 R00042 R00043,1.1.1.170       1.1.1.270       1.1.3.2         1.1.3.4,
C00008,ADP;,C10H15N5O10P2,427.0294,427.20,map00190  Oxidative phosphorylation,R00002 R00076 R00086 R00104 R00105 R00122 R00123 R00124,1.3.7.7         1.3.7.8         1.3.7.14        1.3.7.15,
C00009,Orthophosphate;,H3PO4,97.9769,98.00,map00190  Oxidative phosphorylation,R00002 R00004 R00077 R00085 R00086 R00118 R00122 R00126,1.2.1.11        1.2.1.12        1.2.1.13        1.2.1.38,
C00010,CoA;,C21H36N7O16P3S,767.1152,767.54,map00071  Fatty acid degradation,R00091 R00130 R00209 R00210 R00211 R00212 R00227 R00228,1.1.1.34        1.1.1.88        1.1.1.-         1.2.1.10,
C00011,CO2;,CO2,43.9898,44.01,map00220  Arginine biosynthesis,R00005 R00006 R00013 R00014 R00024 R00042 R00047 R00131,1.1.1.38        1.1.1.39        1.1.1.40        1.1.1.41,
C00012,Peptide,C2H4NO2R(C2H2NOR)n,,,map00330  Arginine and proline metabolism,R00135 R01578 R01687 R04159 R04869 R04935 R09845,2.3.2.2         3.4.11.5        3.4.22.-        3.4.24.84,
C00013,Diphosphate;,H4P2O7,177.9432,177.98,map00190  Oxidative phosphorylation,R00004 R00012 R00087 R00089 R00137 R00138 R00161 R00177,1.2.1.30        1.2.1.95        1.2.1.101       1.3.1.96,
C00014,Ammonia;,NH3,17.0265,17.03,map00220  Arginine biosynthesis,R00005 R00018 R00084 R00088 R00123 R00131 R00141 R00143,1.3.7.8         1.4.1.1         1.4.1.2         1.4.1.3,
C00015,UDP;,C9H14N2O12P2,404.0022,404.16,map00240  Pyrimidine metabolism,R00155 R00156 R00157 R00158 R00159 R00292 R00414 R00417,1.17.4.1        2.4.1.11        2.4.1.12        2.4.1.13,
C00016,FAD;,C27H33N9O15P2,785.1571,785.55,map00740  Riboflavin metabolism,R00160 R00161 R00408 R00807 R00848 R01175 R01257 R01279,1.1.5.3         1.1.5.4         1.1.98.3        1.1.99.2,
C00017,Protein,C2H4NO2R(C2H2NOR)n,,,map00450  Selenocompound metabolism,R00162 R00164 R00165 R00166 R00168 R00169 R00170 R00172,2.3.2.6         2.3.2.8         2.4.1.113       2.7.11.1,
